Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2016,Angels,97,96,96,99,95,84,100,102,98,100,100,98,100,99
2016,Orioles,100,102,98,102,96,87,105,98,100,101,103,99,101,103
2016,Red Sox,105,106,109,103,114,104,96,99,99,102,98,103,101,99
2016,White Sox,99,97,97,99,95,96,103,103,101,99,102,98,102,100
2016,Indians,104,106,110,102,106,85,102,100,101,102,97,102,92,101
2016,Tigers,100,101,101,100,98,120,100,96,99,100,104,101,105,101
2016,Royals,101,101,108,101,106,113,92,97,99,101,100,102,95,98
2016,Twins,102,102,102,102,103,103,102,98,100,102,100,101,101,102
2016,Yankees,101,101,102,100,95,83,112,101,101,98,102,100,105,104
2016,Athletics,98,98,92,99,102,108,93,98,99,100,100,100,101,98
2016,Mariners,95,96,97,97,94,87,100,103,99,97,102,96,104,98
2016,Rays,97,96,95,99,94,97,96,103,100,97,99,99,105,97
2016,Rangers,108,108,107,104,102,120,104,98,103,101,101,104,100,104
2016,Blue Jays,100,100,107,98,105,102,102,100,99,100,99,98,97,100
2016,Diamondbacks,105,108,110,100,106,127,104,100,100,101,100,101,93,101
2016,Braves,99,99,103,100,98,96,94,103,102,98,100,101,99,97
2016,Cubs,100,99,94,99,99,105,100,100,102,100,99,100,97,100
2016,Reds,102,102,100,98,100,95,108,104,103,98,100,99,102,103
2016,Rockies,116,117,117,109,112,135,111,96,102,106,99,105,89,107
2016,Marlins,95,94,92,99,96,103,90,99,100,101,99,98,95,97
2016,Astros,96,93,91,97,96,105,101,102,98,100,97,97,100,99
2016,Dodgers,96,95,91,96,100,75,101,100,94,99,100,96,104,98
2016,Brewers,101,102,99,98,100,94,107,102,100,99,100,100,97,102
2016,Nationals,102,100,98,103,103,83,100,100,101,99,103,100,97,100
2016,Mets,94,95,99,95,94,86,97,101,100,97,100,97,109,98
2016,Phillies,99,99,92,98,96,94,109,105,100,99,101,97,109,102
2016,Pirates,98,98,100,102,101,95,93,97,100,102,98,103,99,99
2016,Cardinals,98,96,96,101,100,96,95,97,98,101,101,102,102,99
2016,Padres,97,96,101,99,99,95,96,100,102,101,98,102,98,99
2016,Giants,97,95,101,101,99,120,86,99,100,101,96,99,98,95
