Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2020,Angels,102,103,111,99,99,95,107,101,102,100,99,101,95,103
2020,Orioles,102,104,94,101,97,90,111,98,101,102,104,98,103,106
2020,Red Sox,106,107,112,102,113,116,100,99,100,102,100,100,102,100
2020,White Sox,101,100,103,98,94,83,108,100,101,99,104,96,100,104
2020,Indians,100,99,105,99,100,90,101,100,101,102,95,100,95,100
2020,Tigers,99,99,95,101,100,136,93,98,100,100,103,103,106,99
2020,Royals,103,105,102,104,108,111,93,96,99,103,101,105,98,99
2020,Twins,99,99,97,100,104,93,96,100,102,99,100,101,102,99
2020,Yankees,99,96,107,100,94,88,102,100,101,97,101,100,104,101
2020,Athletics,95,94,89,98,102,93,91,99,100,99,100,102,104,97
2020,Mariners,95,96,95,97,93,80,99,103,97,98,102,94,102,97
2020,Rays,95,93,98,97,97,100,94,102,100,98,98,96,101,96
2020,Rangers,100,100,100,99,100,98,104,101,101,99,103,99,96,102
2020,Blue Jays,104,106,104,102,104,108,100,101,99,102,100,103,99,99
2020,Diamondbacks,101,102,106,103,103,119,94,100,100,102,99,104,97,98
2020,Braves,102,103,103,101,100,93,98,101,100,100,98,102,96,99
2020,Cubs,99,98,88,100,97,113,98,99,99,100,98,102,98,99
2020,Reds,106,108,112,100,103,89,116,104,104,98,101,102,105,105
2020,Rockies,114,116,118,108,113,137,111,96,99,106,99,105,90,106
2020,Marlins,97,99,91,101,99,110,93,100,99,101,98,103,98,98
2020,Astros,99,99,89,98,96,103,102,102,99,100,96,102,100,99
2020,Dodgers,98,97,97,98,99,79,107,100,94,97,101,97,102,100
2020,Brewers,100,101,102,97,97,97,103,103,102,97,101,97,101,100
2020,Nationals,101,99,93,99,104,93,104,100,100,99,103,99,100,102
2020,Mets,93,94,99,96,91,84,97,102,99,97,100,93,103,97
2020,Phillies,101,100,99,99,98,103,106,101,100,99,102,97,107,102
2020,Pirates,100,101,103,101,106,98,95,98,104,102,102,99,95,101
2020,Cardinals,96,94,99,100,96,92,94,97,96,101,100,101,103,97
2020,Padres,95,95,95,98,96,86,98,101,102,100,97,102,101,100
2020,Giants,98,96,102,101,102,117,90,100,100,102,96,98,96,96
