Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2017,Angels,98,97,98,99,96,87,102,102,99,100,100,100,99,100
2017,Orioles,102,99,101,101,97,91,108,98,99,101,105,99,103,104
2017,Red Sox,105,105,101,102,113,106,97,99,99,101,100,101,100,99
2017,White Sox,98,98,100,98,94,90,105,102,101,99,102,97,100,101
2017,Indians,104,105,99,101,106,86,102,100,101,101,96,102,93,100
2017,Tigers,101,102,108,101,100,122,100,97,99,100,104,104,108,101
2017,Royals,102,102,97,101,107,115,92,96,99,102,101,102,96,98
2017,Twins,101,102,104,102,103,101,100,99,100,102,99,101,99,101
2017,Yankees,100,103,101,99,93,84,106,100,100,98,101,99,105,102
2017,Athletics,97,96,105,98,102,105,93,99,99,100,100,100,103,98
2017,Mariners,96,95,96,98,94,87,99,104,100,97,102,97,103,98
2017,Rays,96,96,95,98,94,102,96,103,99,97,99,98,103,97
2017,Rangers,109,111,110,105,105,116,105,97,104,102,101,104,102,104
2017,Blue Jays,100,101,97,98,103,98,103,99,99,100,100,97,97,101
2017,Diamondbacks,105,108,109,100,106,127,104,100,100,101,100,101,93,101
2017,Braves,102,101,99,101,102,93,98,100,99,100,98,102,98,99
2017,Cubs,100,101,106,99,98,108,99,99,102,100,99,100,99,100
2017,Reds,102,102,101,99,101,90,107,104,103,97,101,101,103,102
2017,Rockies,115,115,115,108,113,136,110,97,103,106,99,104,86,106
2017,Marlins,95,91,94,100,96,101,90,100,101,100,98,100,96,97
2017,Astros,97,94,92,98,95,100,101,102,98,100,97,98,99,99
2017,Dodgers,96,94,99,98,99,75,101,100,93,98,100,97,104,98
2017,Brewers,101,101,103,97,100,97,105,102,100,98,100,98,98,101
2017,Nationals,102,102,103,102,103,89,105,100,100,99,103,99,99,102
2017,Mets,94,93,93,95,93,85,98,102,99,97,101,95,108,98
2017,Phillies,100,99,103,98,96,95,109,103,100,99,102,97,108,102
2017,Pirates,98,97,98,100,103,97,95,98,102,102,99,101,96,100
2017,Cardinals,96,96,95,101,97,93,94,97,97,101,99,103,102,98
2017,Padres,97,98,92,99,99,93,97,100,102,101,98,102,98,99
2017,Giants,96,98,93,102,98,117,86,100,99,101,97,100,102,94

