Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2021,Angels,102,104,102,100,98,99,106,102,101,100,99,103,92,102
2021,Orioles,102,104,108,101,97,90,111,98,101,102,104,98,103,106
2021,Red Sox,106,109,111,103,112,120,99,98,102,103,100,101,101,101
2021,White Sox,101,103,100,98,94,79,108,100,102,99,103,97,101,104
2021,Cleveland,98,98,97,99,100,92,98,101,100,101,96,98,95,98
2021,Tigers,100,96,94,102,100,139,95,98,102,100,102,103,107,99
2021,Royals,104,104,108,106,108,110,94,96,100,104,102,106,98,99
2021,Twins,99,98,99,99,105,97,97,101,102,99,101,98,103,99
2021,Yankees,98,101,99,98,94,85,103,100,99,98,102,97,103,101
2021,Athletics,95,95,94,99,101,99,91,100,100,99,100,101,105,97
2021,Mariners,96,94,94,97,93,78,98,103,98,98,101,96,105,97
2021,Rays,95,93,89,96,99,99,95,102,100,98,98,95,97,96
2021,Rangers,100,100,98,99,100,98,104,101,101,99,103,99,96,102
2021,Blue Jays,104,106,106,102,104,108,100,101,99,102,100,103,99,99
2021,Diamondbacks,100,102,103,103,104,118,92,100,99,102,98,103,96,97
2021,Braves,101,101,105,100,100,98,100,102,99,99,98,100,95,99
2021,Cubs,99,98,103,101,97,113,99,100,99,100,98,102,99,99
2021,Reds,105,110,112,100,100,83,115,102,102,99,101,101,108,105
2021,Rockies,115,117,112,108,112,138,109,96,100,107,99,108,89,105
2021,Marlins,100,98,97,102,101,111,95,100,99,101,98,102,97,98
2021,Astros,99,97,99,99,98,106,100,101,99,99,96,103,98,99
2021,Dodgers,97,100,98,97,98,81,108,100,95,97,102,98,99,101
2021,Brewers,100,100,102,97,97,99,104,103,102,96,101,97,102,101
2021,Nationals,100,97,97,99,102,95,102,99,99,100,102,99,103,101
2021,Mets,95,94,91,96,94,82,98,102,102,97,100,94,104,99
2021,Phillies,100,100,98,99,98,106,105,100,100,99,101,100,108,102
2021,Pirates,101,102,101,102,106,101,94,98,103,102,102,100,94,100
2021,Cardinals,97,94,92,101,96,92,95,97,97,101,100,101,102,98
2021,Padres,94,93,96,97,96,82,98,101,100,99,98,100,102,99
2021,Giants,96,99,99,101,99,113,91,100,98,102,97,97,96,96
