Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2018,Angels,99,99,99,99,97,88,104,101,99,100,100,100,98,101
2018,Orioles,100,102,99,100,96,90,106,98,100,101,104,97,104,104
2018,Red Sox,104,103,104,102,115,108,97,99,100,102,100,101,101,99
2018,White Sox,99,99,97,98,93,88,105,101,100,99,102,96,102,101
2018,Indians,103,101,106,100,104,87,102,100,100,101,95,101,93,100
2018,Tigers,102,103,97,101,100,129,101,97,98,100,104,105,107,102
2018,Royals,102,101,103,103,106,113,92,97,100,102,102,103,97,98
2018,Twins,101,101,100,101,104,105,99,100,101,101,100,101,99,100
2018,Yankees,100,99,106,100,93,86,107,100,100,98,100,100,102,102
2018,Athletics,96,97,92,98,102,102,93,100,99,100,99,102,102,97
2018,Mariners,96,96,93,98,94,84,100,104,100,97,102,95,102,99
2018,Rays,96,96,97,98,95,105,95,103,100,98,98,98,102,96
2018,Rangers,109,112,116,105,105,116,105,97,104,102,101,104,102,104
2018,Blue Jays,101,99,98,99,103,100,102,100,99,101,100,98,97,101
2018,Diamondbacks,101,101,103,103,103,119,94,100,100,102,99,104,97,98
2018,Braves,102,101,106,101,102,93,98,100,99,100,98,102,98,99
2018,Cubs,99,102,104,100,100,111,96,99,101,100,99,101,95,99
2018,Reds,102,103,106,98,100,94,110,104,102,97,101,100,103,103
2018,Rockies,114,115,112,108,113,137,110,97,101,106,98,103,86,105
2018,Marlins,95,95,88,99,96,98,90,100,99,100,97,99,97,97
2018,Astros,96,98,99,98,93,95,100,102,98,100,97,99,102,98
2018,Dodgers,95,96,94,98,98,73,102,100,94,98,100,98,104,99
2018,Brewers,100,101,101,97,99,94,103,102,100,98,99,97,100,100
2018,Nationals,102,104,106,102,103,91,104,100,100,100,102,99,99,102
2018,Mets,95,92,87,95,92,83,98,103,99,96,102,95,107,98
2018,Phillies,100,103,102,98,96,100,110,103,100,98,102,98,107,103
2018,Pirates,99,98,94,101,106,97,94,98,102,102,100,100,96,100
2018,Cardinals,96,96,97,101,96,91,94,97,98,101,99,103,104,98
2018,Padres,97,95,102,98,99,91,96,100,102,101,98,101,99,99
2018,Giants,97,94,101,102,101,114,88,100,100,101,98,100,102,95
