yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2023,LAN,NL,bettsmo01,152,151,152,152,0,0,0,70,0,16,0,0,107,107,0,1,0
2023,NYA,AL,colege01,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0
2023,MIL,NL,donaljo02,17,17,17,15,0,0,0,0,15,0,0,0,0,0,2,0,0
2023,NYA,AL,donaljo02,34,30,33,24,1,0,0,0,23,0,0,0,0,0,7,3,0
2023,LAN,NL,freemfr01,161,161,161,161,0,0,161,0,0,0,0,0,0,0,0,0,0
2023,NYA,AL,judgeaa01,106,104,106,67,0,0,0,0,0,0,0,18,54,72,38,2,0
2023,SEA,AL,rodriju01,155,155,155,152,0,0,0,0,0,0,0,152,0,152,3,0,0
