playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
kahnlto01,2023,1,NYA,AL,1,3,42,0,0,0,2,122,26,12,5,19,48,0.183,2.66,0,3,1,0,165,9,14,1,2,4
kellyjo05,2023,2,LAN,NL,1,0,11,0,0,0,0,31,3,2,0,6,19,0.088,1.74,0,2,0,0,40,2,3,0,0,1
kershcl01,2023,1,LAN,NL,13,5,24,24,0,0,0,395,100,36,19,40,137,0.209,2.46,0,6,3,2,523,0,39,0,1,16
kineris01,2023,1,NYA,AL,0,0,4,0,0,0,0,12,4,1,0,0,1,0.25,2.25,0,0,0,0,16,4,1,0,0,0
kingmi01,2023,1,NYA,AL,4,8,49,9,0,0,6,314,88,32,10,32,127,0.226,2.75,1,2,5,1,431,10,35,3,1,9
kirbyge01,2023,1,SEA,AL,13,10,31,31,1,0,0,572,179,71,22,19,172,0.246,3.35,1,1,6,0,757,0,74,2,3,18
kolarad01,2023,1,LAN,NL,0,0,1,0,0,0,0,4,1,0,0,0,2,0.2,0,0,0,0,0,5,0,0,0,0,0
krookma01,2023,1,NYA,AL,0,0,4,0,0,0,0,12,8,11,1,6,3,0.4,24.75,0,1,0,0,27,1,11,0,1,0
leonedo01,2023,3,SEA,AL,0,0,9,0,0,0,0,31,7,5,5,8,10,0.184,4.35,0,0,1,0,47,7,5,0,0,0
loaisjo01,2023,1,NYA,AL,0,2,17,0,0,0,0,53,14,6,2,1,6,0.219,3.06,1,0,2,0,69,4,7,0,2,1
lynnla01,2023,2,LAN,NL,7,2,11,11,0,0,0,192,59,31,16,22,47,0.238,4.36,0,0,2,0,273,0,33,0,0,4
marinro01,2023,1,NYA,AL,4,5,45,0,0,0,2,142,35,21,6,27,56,0.208,3.99,0,2,7,0,205,9,24,1,1,2
maydu01,2023,1,LAN,NL,4,1,9,9,0,0,0,144,29,14,1,16,34,0.173,2.63,0,1,2,0,187,0,14,0,1,3
mcallza01,2023,1,NYA,AL,0,0,7,0,0,0,0,16,9,6,2,2,5,0.346,10.13,0,0,1,0,29,2,7,0,0,1
mccauda01,2023,1,SEA,AL,0,0,3,0,0,0,0,15,7,3,1,3,10,0.292,5.4,0,0,0,0,27,3,5,0,0,0
mcgeeea01,2023,1,SEA,AL,0,0,1,1,0,0,0,20,1,0,0,1,2,0.048,0,0,0,0,0,22,0,0,0,0,0
middlke01,2023,2,NYA,AL,0,0,12,0,0,0,0,43,7,3,1,7,17,0.143,1.88,0,1,0,0,56,5,3,0,0,2
millebo05,2023,1,LAN,NL,11,4,22,22,0,0,0,373,105,52,12,32,119,0.226,3.76,0,10,6,0,505,0,53,0,3,9
millebr04,2023,1,SEA,AL,8,7,25,25,0,0,0,394,124,63,18,26,119,0.248,4.32,0,2,7,0,537,0,64,1,2,9
millesh01,2023,1,LAN,NL,3,0,36,1,0,0,1,126,19,8,3,19,42,0.135,1.71,2,1,2,0,163,12,8,1,0,1
millety01,2023,2,LAN,NL,0,0,1,0,0,0,0,6,3,2,0,1,1,0.375,9,0,1,0,0,9,0,2,0,0,0
millety01,2023,4,LAN,NL,0,0,1,0,0,0,0,6,1,0,0,0,2,0.167,0,0,0,0,0,6,0,0,0,0,1
