gid,event,inning,top_bot,vis_home,site,batteam,pitteam,score_v,score_h,batter,pitcher,lp,bat_f,bathand,pithand,balls,strikes,count,pitches,nump,pa,ab,single,double,triple,hr,sh,sf,hbp,walk,k,xi,roe,fc,othout,noout,oth,bip,bunt,ground,fly,line,iw,gdp,othdp,tp,fle,wp,pb,bk,oa,di,sb2,sb3,sbh,cs2,cs3,csh,pko1,pko2,pko3,k_safe,e1,e2,e3,e4,e5,e6,e7,e8,e9,outs_pre,outs_post,br1_pre,br2_pre,br3_pre,br1_post,br2_post,br3_post,lob_id1,lob_id2,lob_id3,pr1_pre,pr2_pre,pr3_pre,pr1_post,pr2_post,pr3_post,run_b,run1,run2,run3,prun_b,prun1,prun2,prun3,ur_b,ur1,ur2,ur3,rbi_b,rbi1,rbi2,rbi3,runs,rbi,er,tur,l1,l2,l3,l4,l5,l6,l7,l8,l9,lf1,lf2,lf3,lf4,lf5,lf6,lf7,lf8,lf9,f2,f3,f4,f5,f6,f7,f8,f9,po0,po1,po2,po3,po4,po5,po6,po7,po8,po9,a1,a2,a3,a4,a5,a6,a7,a8,a9,fseq,batout1,batout2,batout3,brout_b,brout1,brout2,brout3,firstf,loc,hittype,dpopp,pivot,pn,umphome,ump1b,ump2b,ump3b,umplf,umprf,date,gametype,pbp,home_team_league,visiting_team_league
CLE202304090,S4/G4M,2,0,0,CLE08,SEA,CLE,2,1,polla001,plesz001,7,7,R,R,0,0,0,X,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,polla001,,,,,,,,,plesz001,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,4M+,G,0,0,11,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,S9/G34.1-3,2,0,0,CLE08,SEA,CLE,2,1,wongk001,plesz001,8,4,L,R,3,1,31,BB1BCX,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,polla001,,,wongk001,,polla001,,,,plesz001,,,plesz001,,plesz001,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9,34+,G,0,0,12,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,46(1)3/GDP/G4S,2,0,0,CLE08,SEA,CLE,2,1,crawj002,plesz001,9,6,L,R,0,2,2,SFX,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,wongk001,,polla001,,,,polla001,,,plesz001,,plesz001,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,463,4,6,0,0,0,0,0,4,4S+,G,1,6,13,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,K,2,1,1,CLE08,CLE,SEA,2,1,gimea001,kirbg001,5,4,L,R,1,2,12,CFFBFS,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,kwans001,rosaa003,ramij003,naylj001,gimea001,bellj005,brenw002,stram002,gallc001,7,6,5,10,4,3,9,8,2,ralec001,frant002,wongk001,suare001,crawj002,polla001,rodrj007,kelej001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,0,0,14,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,8/F78,2,1,1,CLE08,CLE,SEA,2,1,bellj005,kirbg001,6,3,B,R,1,1,11,BCX,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,kwans001,rosaa003,ramij003,naylj001,gimea001,bellj005,brenw002,stram002,gallc001,7,6,5,10,4,3,9,8,2,ralec001,frant002,wongk001,suare001,crawj002,polla001,rodrj007,kelej001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,78+,F,0,0,15,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,53/G6,2,1,1,CLE08,CLE,SEA,2,1,brenw002,kirbg001,7,9,L,R,3,2,32,CFFBFBFBX,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,kwans001,rosaa003,ramij003,naylj001,gimea001,bellj005,brenw002,stram002,gallc001,7,6,5,10,4,3,9,8,2,ralec001,frant002,wongk001,suare001,crawj002,polla001,rodrj007,kelej001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53,5,0,0,0,0,0,0,5,6+,G,0,0,16,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,7/F78+,3,0,0,CLE08,SEA,CLE,2,1,rodrj007,plesz001,1,8,R,R,3,0,30,BBBX,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,7,78+,F,0,0,17,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,E6/G6.B-1,3,0,0,CLE08,SEA,CLE,2,1,frant002,plesz001,2,3,R,R,1,1,11,BSX,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,,,frant002,,,,,,,,,plesz001,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6,6+,G,0,0,18,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,64(1)/FO/G56.B-1,3,0,0,CLE08,SEA,CLE,2,1,suare001,plesz001,3,5,R,R,0,2,2,CFX,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,frant002,,,suare001,,,,,,plesz001,,,plesz001,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,6,0,0,0,0,0,0,6,56+,G,1,4,19,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
CLE202304090,K,3,0,0,CLE08,SEA,CLE,2,1,ralec001,plesz001,4,2,B,R,1,2,12,CFBS,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,suare001,,,,,,suare001,,,plesz001,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,rodrj007,frant002,suare001,ralec001,hernt002,kelej001,polla001,wongk001,crawj002,8,3,5,2,10,9,7,4,6,gallc001,bellj005,gimea001,ramij003,rosaa003,kwans001,stram002,brenw002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,0,0,20,reybd901,libkj901,tomln901,hoyej901,,,20230409,regular,full,AL,AL
