gid,event,inning,top_bot,vis_home,site,batteam,pitteam,score_v,score_h,batter,pitcher,lp,bat_f,bathand,pithand,balls,strikes,count,pitches,nump,pa,ab,single,double,triple,hr,sh,sf,hbp,walk,k,xi,roe,fc,othout,noout,oth,bip,bunt,ground,fly,line,iw,gdp,othdp,tp,fle,wp,pb,bk,oa,di,sb2,sb3,sbh,cs2,cs3,csh,pko1,pko2,pko3,k_safe,e1,e2,e3,e4,e5,e6,e7,e8,e9,outs_pre,outs_post,br1_pre,br2_pre,br3_pre,br1_post,br2_post,br3_post,lob_id1,lob_id2,lob_id3,pr1_pre,pr2_pre,pr3_pre,pr1_post,pr2_post,pr3_post,run_b,run1,run2,run3,prun_b,prun1,prun2,prun3,ur_b,ur1,ur2,ur3,rbi_b,rbi1,rbi2,rbi3,runs,rbi,er,tur,l1,l2,l3,l4,l5,l6,l7,l8,l9,lf1,lf2,lf3,lf4,lf5,lf6,lf7,lf8,lf9,f2,f3,f4,f5,f6,f7,f8,f9,po0,po1,po2,po3,po4,po5,po6,po7,po8,po9,a1,a2,a3,a4,a5,a6,a7,a8,a9,fseq,batout1,batout2,batout3,brout_b,brout1,brout2,brout3,firstf,loc,hittype,dpopp,pivot,pn,umphome,ump1b,ump2b,ump3b,umplf,umprf,date,gametype,pbp,home_team_league,visiting_team_league
BLF191504100,FC1.BX2(16);2-2,7,0,0,BAL10,NEW,BLF,6,2,lapof101,quinj102,4,4,R,R,,,??,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,rouse101,,,rouse101,,,,,,quinj102,,,quinj102,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,whitg103,mckeb101,rouse101,lapof101,schag101,esmoj101,schea102,huhne101,falkc101,9,5,8,4,3,6,7,2,1,owenf101,swach101,knabo101,walsj101,doolm101,zinng101,duncv101,meyeb103,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,1,1+,G,0,0,57,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,SB3,7,0,0,BAL10,NEW,BLF,6,2,schag101,quinj102,5,3,R,R,,,??,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,rouse101,,,,rouse101,,,,,quinj102,,,,quinj102,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,whitg103,mckeb101,rouse101,lapof101,schag101,esmoj101,schea102,huhne101,falkc101,9,5,8,4,3,6,7,2,1,owenf101,swach101,knabo101,walsj101,doolm101,zinng101,duncv101,meyeb103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,58,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,63,7,0,0,BAL10,NEW,BLF,6,2,schag101,quinj102,5,3,R,R,,,??,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,,rouse101,,,,rouse101,,,,,quinj102,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,whitg103,mckeb101,rouse101,lapof101,schag101,esmoj101,schea102,huhne101,falkc101,9,5,8,4,3,6,7,2,1,owenf101,swach101,knabo101,walsj101,doolm101,zinng101,duncv101,meyeb103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,6,0,0,0,0,0,0,6,3+,G,0,0,59,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,13,7,1,1,BAL10,BLF,NEW,6,2,walsj101,falkc101,6,5,R,R,,,??,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,meyeb103,knabo101,duncv101,zinng101,swach101,walsj101,doolm101,owenf101,quinj102,9,4,8,7,3,5,6,2,1,huhne101,schag101,lapof101,mckeb101,esmoj101,schea102,rouse101,whitg103,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,13+,G,0,0,60,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,DGR/8,7,1,1,BAL10,BLF,NEW,6,2,doolm101,falkc101,7,6,R,R,,,??,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,doolm101,,,,,,,,,falkc101,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,meyeb103,knabo101,duncv101,zinng101,swach101,walsj101,doolm101,owenf101,quinj102,9,4,8,7,3,5,6,2,1,huhne101,schag101,lapof101,mckeb101,esmoj101,schea102,rouse101,whitg103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8,8+,,0,0,61,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,HP,7,1,1,BAL10,BLF,NEW,6,2,owenf101,falkc101,8,2,R,R,,,??,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,doolm101,,owenf101,doolm101,,,,,,falkc101,,falkc101,falkc101,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,meyeb103,knabo101,duncv101,zinng101,swach101,walsj101,doolm101,owenf101,quinj102,9,4,8,7,3,5,6,2,1,huhne101,schag101,lapof101,mckeb101,esmoj101,schea102,rouse101,whitg103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,62,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,S5/G.2-3;1-2,7,1,1,BAL10,BLF,NEW,6,2,simmh101,falkc101,9,11,R,R,,,??,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,owenf101,doolm101,,simmh101,owenf101,doolm101,,,,falkc101,falkc101,,falkc101,falkc101,falkc101,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,meyeb103,knabo101,duncv101,zinng101,swach101,walsj101,doolm101,owenf101,simmh101,9,4,8,7,3,5,6,2,11,huhne101,schag101,lapof101,mckeb101,esmoj101,schea102,rouse101,whitg103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,,G,0,0,63,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,W.3-H;2-3;1-2,7,1,1,BAL10,BLF,NEW,6,2,meyeb103,falkc101,1,9,R,R,,,??,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,simmh101,owenf101,doolm101,meyeb103,simmh101,owenf101,,,,falkc101,falkc101,falkc101,falkc101,falkc101,falkc101,,,,doolm101,,,,falkc101,0,0,0,0,0,0,0,1,1,1,1,0,meyeb103,knabo101,duncv101,zinng101,swach101,walsj101,doolm101,owenf101,simmh101,9,4,8,7,3,5,6,2,11,huhne101,schag101,lapof101,mckeb101,esmoj101,schea102,rouse101,whitg103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,64,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,W.3-H;2-3;1-2,7,1,1,BAL10,BLF,NEW,6,3,knabo101,falkc101,2,4,R,R,,,??,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,meyeb103,simmh101,owenf101,knabo101,meyeb103,simmh101,,,,falkc101,falkc101,falkc101,falkc101,falkc101,falkc101,,,,owenf101,,,,falkc101,0,0,0,0,0,0,0,1,1,1,1,0,meyeb103,knabo101,duncv101,zinng101,swach101,walsj101,doolm101,owenf101,simmh101,9,4,8,7,3,5,6,2,11,huhne101,schag101,lapof101,mckeb101,esmoj101,schea102,rouse101,whitg103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,65,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,43.3-H;2-3;1-2,7,1,1,BAL10,BLF,NEW,6,4,duncv101,falkc101,3,8,L,R,,,??,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,knabo101,meyeb103,simmh101,,knabo101,meyeb103,,,,falkc101,falkc101,falkc101,,falkc101,falkc101,,,,simmh101,,,,falkc101,0,0,0,0,0,0,0,1,1,1,1,0,meyeb103,knabo101,duncv101,zinng101,swach101,walsj101,doolm101,owenf101,simmh101,9,4,8,7,3,5,6,2,11,huhne101,schag101,lapof101,mckeb101,esmoj101,schea102,rouse101,whitg103,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,4,0,0,0,0,0,0,4,3+,G,0,0,66,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,43,7,1,1,BAL10,BLF,NEW,6,5,zinng101,falkc101,4,7,L,R,,,??,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,knabo101,meyeb103,,,,meyeb103,knabo101,,,falkc101,falkc101,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,meyeb103,knabo101,duncv101,zinng101,swach101,walsj101,doolm101,owenf101,simmh101,9,4,8,7,3,5,6,2,11,huhne101,schag101,lapof101,mckeb101,esmoj101,schea102,rouse101,whitg103,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,4,0,0,0,0,0,0,4,3+,G,0,0,67,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,8/F,8,0,0,BAL10,NEW,BLF,6,5,esmoj101,smitf106,6,6,R,R,,,??,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,whitg103,mckeb101,rouse101,lapof101,schag101,esmoj101,schea102,huhne101,falkc101,9,5,8,4,3,6,7,2,1,owenf101,swach101,knabo101,walsj101,doolm101,zinng101,duncv101,meyeb103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,,F,0,0,68,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,S7,8,0,0,BAL10,NEW,BLF,6,5,schea102,smitf106,7,7,L,R,,,??,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,schea102,,,,,,,,,smitf106,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,whitg103,mckeb101,rouse101,lapof101,schag101,esmoj101,schea102,huhne101,falkc101,9,5,8,4,3,6,7,2,1,owenf101,swach101,knabo101,walsj101,doolm101,zinng101,duncv101,meyeb103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,7+,,0,0,69,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,36(1)/FO,8,0,0,BAL10,NEW,BLF,6,5,huhne101,smitf106,8,2,R,R,,,??,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,schea102,,,huhne101,,,,,,smitf106,,,smitf106,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,whitg103,mckeb101,rouse101,lapof101,schag101,esmoj101,schea102,huhne101,falkc101,9,5,8,4,3,6,7,2,1,owenf101,swach101,knabo101,walsj101,doolm101,zinng101,duncv101,meyeb103,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,36,3,0,0,0,0,0,0,3,,G,1,6,70,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,PO1(E4).1-2,8,0,0,BAL10,NEW,BLF,6,5,falkc101,smitf106,9,1,R,R,,,??,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,huhne101,,,,huhne101,,,,,smitf106,,,,smitf106,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,whitg103,mckeb101,rouse101,lapof101,schag101,esmoj101,schea102,huhne101,falkc101,9,5,8,4,3,6,7,2,1,owenf101,swach101,knabo101,walsj101,doolm101,zinng101,duncv101,meyeb103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,71,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,2/BP,8,0,0,BAL10,NEW,BLF,6,5,falkc101,smitf106,9,1,R,R,,,??,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,huhne101,,,,,huhne101,,,,smitf106,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,whitg103,mckeb101,rouse101,lapof101,schag101,esmoj101,schea102,huhne101,falkc101,9,5,8,4,3,6,7,2,1,owenf101,swach101,knabo101,walsj101,doolm101,zinng101,duncv101,meyeb103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,,BP,0,0,72,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,D7/L,8,1,1,BAL10,BLF,NEW,6,5,swach101,falkc101,5,3,R,R,,,??,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,swach101,,,,,,,,,falkc101,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,meyeb103,knabo101,duncv101,zinng101,swach101,walsj101,doolm101,owenf101,smitf106,9,4,8,7,3,5,6,2,1,huhne101,schag101,lapof101,mckeb101,esmoj101,schea102,rouse101,whitg103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,,L,0,0,73,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,PO2(16),8,1,1,BAL10,BLF,NEW,6,5,walsj101,falkc101,6,5,R,R,,,??,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,swach101,,,,,,,,,falkc101,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,meyeb103,knabo101,duncv101,zinng101,swach101,walsj101,doolm101,owenf101,smitf106,9,4,8,7,3,5,6,2,1,huhne101,schag101,lapof101,mckeb101,esmoj101,schea102,rouse101,whitg103,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,,,0,0,74,mccob104,westf901,,,,,19150410,regular,full,FL,FL
BLF191504100,2/P,8,1,1,BAL10,BLF,NEW,6,5,walsj101,falkc101,6,5,R,R,,,??,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,meyeb103,knabo101,duncv101,zinng101,swach101,walsj101,doolm101,owenf101,smitf106,9,4,8,7,3,5,6,2,1,huhne101,schag101,lapof101,mckeb101,esmoj101,schea102,rouse101,whitg103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,,P,0,0,75,mccob104,westf901,,,,,19150410,regular,full,FL,FL
