yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2023,AL,NYA,NYY,E,4,162,81,82,80,N,N,N,N,673,5323,1207,221,15,219,557,1427,100,30,47,36,698,635,3.97,3,8,44,4319,1272,195,508,1439,96,113,0.984,New York Yankees,Yankee Stadium II,3269016,102,101,NYY,NYA,NYA
2023,AL,SEA,SEA,W,3,162,81,88,74,N,N,N,N,758,5500,1332,283,12,210,548,1603,118,30,111,37,659,602,3.74,2,18,44,4348,1300,184,421,1459,73,123,0.987,Seattle Mariners,T-Mobile Park,2690418,95,94,SEA,SEA,SEA
2023,NL,LAN,LAD,W,1,162,81,100,62,Y,N,N,N,906,5524,1422,303,20,249,644,1359,105,25,85,69,699,652,4.06,0,15,44,4339,1284,200,454,1388,76,139,0.987,Los Angeles Dodgers,Dodger Stadium,3837079,102,99,LAD,LAN,LAN
