playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
suareeu01,2023,1,SEA,AL,3B,159,158,4204,115,268,8,21,,,,,
sweetde01,2023,1,SEA,AL,P,2,0,6,1,0,0,0,,,,,
syndeno01,2023,1,LAN,NL,P,12,12,166,7,5,0,1,,,,,
tayloch03,2023,1,LAN,NL,2B,3,1,30,2,0,1,0,,,,,
tayloch03,2023,1,LAN,NL,3B,28,17,517,10,32,1,0,,,,,
tayloch03,2023,1,LAN,NL,OF,62,37,1090,89,4,1,1,,,,,
tayloch03,2023,1,LAN,NL,SS,31,24,671,27,69,2,12,,,,,
thenju01,2023,1,SEA,AL,P,9,0,33,2,1,0,0,,,,,
thomptr01,2023,1,LAN,NL,OF,34,19,549,42,0,0,0,,,,,
thorntr01,2023,2,SEA,AL,P,23,1,78,1,2,0,0,,,,,
trevijo01,2023,1,NYA,AL,C,54,49,1282,411,17,3,2,2,11,23,8,
uriasju01,2023,1,LAN,NL,P,21,21,352,5,13,0,1,,,,,
volpean01,2023,1,NYA,AL,SS,157,150,4040,186,357,17,63,,,,,
weavelu01,2023,2,SEA,AL,P,5,1,40,0,5,0,0,,,,,
weavelu01,2023,3,NYA,AL,P,3,3,40,0,1,0,0,,,,,
weberry01,2023,1,NYA,AL,P,8,0,43,1,1,0,0,,,,,
wynnsau01,2023,2,LAN,NL,C,5,4,105,22,4,0,0,0,0,7,2,
yarbrry01,2023,2,LAN,NL,P,11,2,116,5,5,0,1,,,,,
